malware_name,malware_package,malware_category,user_action
Adware.Android.Agent,com.lge.homeselector.overlay,Adware,delete
Adware.Android.Agent,com.lge.videostudio.overlay,Adware,delete
Adware.Android.Agent,com.lge.signboard.overlay,Adware,delete
Adware.Android.Agent,com.android.calendar.overlay,Adware,delete
Adware.Android.Agent,com.android.contacts.overlay,Adware,delete
Adware.Android.Agent,com.lge.roamingsettings.overlay,Adware,delete
Adware.Android.Agent,com.lge.sizechangable.weather.optimus.overlay,Adware,delete
Adware.Android.Agent,com.lge.lgdmsclient.overlay,Adware,delete
Adware.Android.Agent,com.lge.updatecenter.overlay,Adware,delete
Adware.Android.Agent,com.android.providers.contacts.overlay,Adware,delete
Adware.Android.Agent,com.android.phone.overlay,Adware,delete
Adware.Android.Agent,com.lge.qlens.overlay,Adware,delete
Adware.Android.Agent,com.lge.LGSetupView.overlay,Adware,delete
Adware.Android.Agent,com.lge.hifirecorder.overlay,Adware,delete
Adware.Android.Agent,com.lge.appbox.client.overlay,Adware,delete
Adware.Android.Agent,com.lge.bnr.overlay,Adware,delete
Adware.Android.Agent,com.android.wallpaper.livepicker.overlay,Adware,delete
Adware.Android.Agent,com.lge.NfcSettings.overlay,Adware,delete
Adware.Android.Agent,com.lge.lockscreensettings.overlay,Adware,delete
Adware.Android.Agent,com.lge.email.overlay,Adware,delete
Adware.Android.Agent,com.lge.gallery.collagewallpaper.overlay,Adware,delete
Adware.Android.Agent,com.lge.launcher3.overlay,Adware,delete
Adware.Android.Agent,com.lge.ellievision.overlay,Adware,delete
Adware.Android.Agent,com.lge.onehandcontroller.overlay,Adware,delete
Adware.Android.Agent,com.android.settings.overlay,Adware,delete
Adware.Android.Agent,com.lge.wallpaperpicker.overlay,Adware,delete
Adware.Android.Agent,com.lge.eula.overlay,Adware,delete
Adware.Android.Agent,com.lge.smartsharepush.overlay,Adware,delete
Adware.Android.Agent,com.android.server.telecom.overlay,Adware,delete
Adware.Android.Agent,com.android.LGSetupWizard.overlay,Adware,delete
Adware.Android.Agent,com.android.incallui.overlay,Adware,delete
Adware.Android.Agent,com.lge.provider.signboard.overlay,Adware,delete
Adware.Android.Agent,com.lge.networksettings.overlay,Adware,delete
Adware.Android.Agent,com.android.settingsaccessibility.overlay,Adware,delete
Adware.Android.Agent,com.lge.sizechangable.weather.overlay,Adware,delete
Adware.Android.Agent,com.lge.music.overlay,Adware,delete
Adware.Android.Agent,com.android.providers.settings.overlay,Adware,delete
Adware.Android.Agent,com.lge.sizechangable.weather.platform.overlay,Adware,delete
Adware.Android.Agent,com.lge.videoplayer.overlay,Adware,delete
Adware.Android.Agent,com.lge.privacylock.overlay,Adware,delete
Adware.Android.Agent,com.lge.camera.overlay,Adware,delete
Adware.Android.Agent,com.lge.phonemanagement.overlay,Adware,delete
Adware.Android.Agent,com.lge.themeservice.overlay,Adware,delete
Adware.Android.Agent,com.android.providers.partnerbookmarks.overlay,Adware,delete
Adware.Android.Agent,com.lge.mlt.overlay,Adware,delete
Adware.Android.Agent,com.lge.clock.overlay,Adware,delete
Adware.Android.Agent,com.lge.lgmapui.overlay,Adware,delete
Adware.Android.Agent,com.lge.lgcontentsetting.overlay,Adware,delete
Adware.Android.Agent,com.lge.fmradio.overlay,Adware,delete
Adware.Android.Agent,com.lge.vrplayer.overlay,Adware,delete
Adware.Android.Agent,com.lge.nextcapture.overlay,Adware,delete
Android.Riskware.Agent.gQPWV,kr.co.chamsule.smartonepass_project3_hyundai,Riskware,delete
Android.Riskware.TestKey.rA,com.guigugame.guigubahuangoverseas,Riskware,scanDetected
Android.Riskware.TestKey.rA,com.guigugame.guigubahuangoverseas,Riskware,delete
Adware.Android.Agent,com.sec.android.app.sbrowser.webapk.wadc3285ba56544f6e5176234c2f4db051,Adware,delete
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,scanDetected
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,scanDetected
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,delete
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,delete
Adware.Android.Agent,com.sec.android.app.sbrowser.webapk.w760feceab7e64985eb34920e135193751,Adware,realTimeDetected
Adware.Android.Agent,com.sec.android.app.sbrowser.webapk.w760feceab7e64985eb34920e135193751,Adware,delete
Android.Riskware.Downloader.ARX,com.kiloo.subwaysurf,Riskware,delete
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,scanDetected
Android.Riskware.TestKey.rA,com.cmplay.dancingline,Riskware,scanDetected
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,scanDetected
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,delete
Android.Riskware.TestKey.rA,com.cmplay.dancingline,Riskware,delete
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,delete
Android.Adware.Agent.BTK,com.ballhop.nearme.gamecenter,Adware,scanDetected
Android.Adware.Agent.BTK,com.ballhop.nearme.gamecenter,Adware,delete
Android.Riskware.Agent.aEKGM,com.EternalStudio.GearFight,Riskware,exclude
Android.Riskware.Agent.aEKGM,com.EternalStudio.GearFight,Riskware,realTimeDetected
Android.Adware.Mulad.IN,com.bazkawqt.diist6.yiw0,Adware,scanDetected
Android.Adware.Mulad.IN,com.bazkawqt.diist6.yiw0,Adware,realTimeDetected
Android.Adware.Mulad.IN,com.bazkawqt.diist6.yiw0,Adware,delete
Android.Riskware.Agent.gHXOE,com.goldenggkisslotileqe.game,Riskware,scanDetected
Android.Riskware.PackMal.WY,com.gconstitution.tlyric.wregressionline,Riskware,scanDetected
Android.Riskware.SpyAgent.aBT,com.reader.sticks,Riskware,scanDetected
Android.Riskware.SpyAgent.aBT,com.reader.sticks,Riskware,scanDetected
