malware_name,malware_package,malware_category,text
Adware.Android.Agent,com.lge.homeselector.overlay,Adware,Adware.Android.Agent com.lge.homeselector.overlay
Adware.Android.Agent,com.lge.videostudio.overlay,Adware,Adware.Android.Agent com.lge.videostudio.overlay
Adware.Android.Agent,com.lge.signboard.overlay,Adware,Adware.Android.Agent com.lge.signboard.overlay
Adware.Android.Agent,com.android.calendar.overlay,Adware,Adware.Android.Agent com.android.calendar.overlay
Adware.Android.Agent,com.android.contacts.overlay,Adware,Adware.Android.Agent com.android.contacts.overlay
Adware.Android.Agent,com.lge.roamingsettings.overlay,Adware,Adware.Android.Agent com.lge.roamingsettings.overlay
Adware.Android.Agent,com.lge.sizechangable.weather.optimus.overlay,Adware,Adware.Android.Agent com.lge.sizechangable.weather.optimus.overlay
Adware.Android.Agent,com.lge.lgdmsclient.overlay,Adware,Adware.Android.Agent com.lge.lgdmsclient.overlay
Adware.Android.Agent,com.lge.updatecenter.overlay,Adware,Adware.Android.Agent com.lge.updatecenter.overlay
Adware.Android.Agent,com.android.providers.contacts.overlay,Adware,Adware.Android.Agent com.android.providers.contacts.overlay
Adware.Android.Agent,com.android.phone.overlay,Adware,Adware.Android.Agent com.android.phone.overlay
Adware.Android.Agent,com.lge.qlens.overlay,Adware,Adware.Android.Agent com.lge.qlens.overlay
Adware.Android.Agent,com.lge.LGSetupView.overlay,Adware,Adware.Android.Agent com.lge.LGSetupView.overlay
Adware.Android.Agent,com.lge.hifirecorder.overlay,Adware,Adware.Android.Agent com.lge.hifirecorder.overlay
Adware.Android.Agent,com.lge.appbox.client.overlay,Adware,Adware.Android.Agent com.lge.appbox.client.overlay
Adware.Android.Agent,com.lge.bnr.overlay,Adware,Adware.Android.Agent com.lge.bnr.overlay
Adware.Android.Agent,com.android.wallpaper.livepicker.overlay,Adware,Adware.Android.Agent com.android.wallpaper.livepicker.overlay
Adware.Android.Agent,com.lge.NfcSettings.overlay,Adware,Adware.Android.Agent com.lge.NfcSettings.overlay
Adware.Android.Agent,com.lge.lockscreensettings.overlay,Adware,Adware.Android.Agent com.lge.lockscreensettings.overlay
Adware.Android.Agent,com.lge.email.overlay,Adware,Adware.Android.Agent com.lge.email.overlay
Adware.Android.Agent,com.lge.gallery.collagewallpaper.overlay,Adware,Adware.Android.Agent com.lge.gallery.collagewallpaper.overlay
